Ensembl_ID,gene_name,SJALL014946_D1,SJALL014947_D1,SJALL014949_D1,SJALL014950_D1,SJALL014952_D1
ENSG00000290825.1,DDX11L2,106.7663152,75.85061042,35.79098067,104.5008263,188.6171073
ENSG00000236397.3,DDX11L2,121.8815464,86.58901144,40.85801839,119.2953253,215.3202034
ENSG00000223972.6,DDX11L1,0,5.526693932,0,0,2.290530945
ENSG00000227232.5,WASH7P,12.29333232,90.73894165,60.9417397,37.03866511,21.81184749
ENSG00000278267.1,MIR6859-1,1011.889704,1506.230316,565.355043,644.9235305,56.75046819
ENSG00000243485.5,MIR1302-2HG,0,0,0,0,0
ENSG00000284332.1,MIR1302-2,0,0,0,0,0
ENSG00000237613.2,FAM138A,0,6.00806282,0,0,0
ENSG00000268020.3,OR4G4P,0,0,0,0,0
ENSG00000240361.3,OR4G11P,0,0,0,0,0
ENSG00000186092.7,OR4F5,0,0,0,0,0.616652833
ENSG00000233750.3,CICP27,0,0,0,0,1.995424492
ENSG00000222623.1,RNU6-1100P,0,0,0,0,0
ENSG00000279457.4,WASH9P,81.47032319,185.3941786,118.9053573,40.57094829,52.59188474
ENSG00000273874.1,MIR6859-2,0,0,0,0,56.75046819
ENSG00000236679.2,RPL23AP24,0,23.89143731,0,0,19.8035488
ENSG00000269732.1,WBP1LP7,0,0,0,0,0
ENSG00000284733.2,OR4F29,0,0,0,0,0
ENSG00000233653.3,CICP7,0,0,0,0,0
ENSG00000225972.1,MTND1P23,137.0551419,49.45720715,102.0991587,33.27676284,81.98989475
ENSG00000225630.1,MTND2P28,471.2611925,888.4041271,515.7035358,337.3459749,1166.56763
ENSG00000237973.1,MTCO1P12,934.2918068,1570.699318,1513.186338,956.7500921,1528.803144
ENSG00000229344.1,MTCO2P12,323.5521043,1131.633189,778.7122325,634.5062635,2049.100238
ENSG00000240409.1,MTATP8P1,0,0,36.77552221,0,36.9153531
ENSG00000248527.1,MTATP6P1,4735.792622,6381.543443,5091.354724,3295.206972,8991.277119
ENSG00000198744.5,MTCO3P12,465.6360589,2688.443055,2178.377178,1254.917922,2437.359852
ENSG00000268663.1,WBP1LP6,0,21.68868068,0,0,0
ENSG00000284662.2,OR4F16,0,0,0,0,0
ENSG00000229376.3,CICP3,0,3.263718224,0,0,0
ENSG00000223181.1,RNU6-1199P,0,89.07098958,73.55104442,0,0
ENSG00000177757.2,FAM87B,13.74627132,11.16096341,3.072083364,7.509537112,26.21199646
ENSG00000225880.6,LINC00115,107.4999104,116.3760498,77.79394672,91.35280453,122.8765045
ENSG00000228794.12,LINC01128,54.83723715,68.1896217,105.1084472,65.31248516,86.9998506
ENSG00000230368.2,FAM41C,1.919061656,1.038758144,1.715524813,1.397835033,3.013583512
ENSG00000234711.1,TUBB8P11,0,0,0,0,7.194477519
ENSG00000223764.2,LINC02593,0,4.420290015,3.650087967,1.487072875,2.747974971
ENSG00000187634.13,SAMD11,0,2.665401489,0.366829245,0,0.368224033
ENSG00000188976.11,NOC2L,830.2908037,614.6169515,359.0786723,400.0536129,478.2427248
ENSG00000187961.15,KLHL17,227.7490799,194.7419669,280.3104069,93.76465073,443.5377877
ENSG00000187583.11,PLEKHN1,5.419104511,0.977758918,2.422175501,0.657874827,3.647077941
ENSG00000187642.10,PERM1,0,0,2.189841762,0,1.099084078
ENSG00000188290.11,HES4,0,60.65660778,93.91435011,10.20304051,65.99000723
ENSG00000187608.10,ISG15,102.4385432,88.30668844,95.53074394,52.96795577,1650.908468
ENSG00000188157.15,AGRN,16.95009421,116.7241197,98.06942137,23.32091152,275.3638404
ENSG00000237330.3,RNF223,10.15223273,8.242867859,27.22644232,7.394836186,12.52623392
ENSG00000131591.18,C1orf159,48.57615441,44.08811568,146.0630097,31.6299277,50.52390204
ENSG00000223823.1,LINC01342,0,0,3.228764416,0,1.080347029
ENSG00000207730.3,MIR200B,0,0,0,0,40.4498018
ENSG00000207607.3,MIR200A,0,0,0,69.35774726,0
ENSG00000198976.1,MIR429,0,0,0,0,0
ENSG00000205231.1,TTLL10-AS1,5.215926309,1.411649781,5.828402505,0,1.755169119
ENSG00000162571.14,TTLL10,0,0.381373126,1.574608741,0,4.899847125
ENSG00000186891.14,TNFRSF18,0,104.118326,378.2965845,6.004707691,51.78204199
ENSG00000186827.12,TNFRSF4,41.96818811,223.9220102,136.6691321,17.46824056,138.5337747
ENSG00000078808.20,SDF4,475.9232237,715.7178443,431.9686936,300.4660289,436.8846473
ENSG00000176022.7,B3GALT6,453.3475181,173.4088916,516.0376951,561.3673588,522.067877
ENSG00000184163.3,C1QTNF12,3.963786843,173.7884158,79.72616719,12.99241243,58.68815957
ENSG00000160087.21,UBE2J2,193.6560651,340.6747751,277.5183557,214.3712241,221.2201789
ENSG00000230415.1,LINC01786,35.87467346,24.71432884,34.98521875,23.75539544,29.26520199
ENSG00000162572.21,SCNN1D,77.48685282,79.9280173,134.6162392,72.94738311,92.81856529
ENSG00000131584.19,ACAP3,704.7792102,717.1510455,846.0527219,205.7732665,345.3608259
ENSG00000278073.1,MIR6726,0,0,0,0,0
ENSG00000169972.13,PUSL1,390.7109839,265.1018706,140.2007084,144.3001443,167.8929436
ENSG00000127054.22,INTS11,782.6467172,1730.949403,968.5081621,605.8824305,901.0901885
ENSG00000283712.1,MIR6727,0,0,0,0,0
ENSG00000224051.7,CPTP,167.8539261,308.0264149,272.654077,310.1329993,239.7090428
ENSG00000169962.5,TAS1R3,16.806299,238.7959227,257.2827932,139.2484866,180.9712501
ENSG00000107404.21,DVL1,473.4065376,352.2593251,283.3811171,189.8730862,227.4593437
ENSG00000284372.1,MIR6808,0,0,0,0,0
ENSG00000162576.17,MXRA8,3.730007162,32.30391523,17.50560179,2.037689098,13.80669951
ENSG00000175756.14,AURKAIP1,3063.929403,2950.438839,1513.099854,1558.882286,1930.745448
ENSG00000223663.2,NDUFB4P8,0,25.06642603,20.69879119,0,0
ENSG00000221978.13,CCNL2,1861.122446,4872.001379,2785.859179,2061.086826,1999.937485
ENSG00000224870.9,MRPL20-AS1,428.5838652,438.598081,553.7396885,926.7795387,401.1098876
ENSG00000242485.6,MRPL20,585.5390737,811.1018717,510.7726597,417.3316457,582.6304103
ENSG00000264293.2,RN7SL657P,0,0,0,0,0
ENSG00000235098.9,ANKRD65,0,8.218254936,0,1.843188864,0
ENSG00000205116.4,TMEM88B,0,0,1.728046892,0,0
ENSG00000225285.1,LINC01770,4.20157475,11.37123442,33.80357867,1.53020315,9.425585942
ENSG00000179403.12,VWA1,8.452388751,94.93428374,24.55675065,4.617508669,17.0654693
ENSG00000215915.10,ATAD3C,3.311351478,9.410010279,4.810239742,0.301496508,2.228552136
ENSG00000160072.20,ATAD3B,240.4319457,2409.738566,690.395114,165.1896628,229.5975599
ENSG00000197785.14,ATAD3A,170.8234972,211.8120233,108.9795078,79.47979651,88.62929977
ENSG00000205090.10,TMEM240,5.798546884,64.34259134,44.06017064,6.335449373,7.804888201
ENSG00000160075.12,SSU72,290.5714913,419.3260377,410.4010883,236.9447885,212.1670713
ENSG00000228594.4,FNDC10,15.9671715,56.17807586,17.84210451,5.815204434,23.28292878
ENSG00000197530.13,MIB2,307.6375783,532.862154,542.5184456,299.4546259,567.1675727
ENSG00000189409.14,MMP23B,0,29.5945546,14.6627566,3.982477101,4.906169508
ENSG00000248333.9,CDK11B,320.6423107,1229.56684,675.1841788,219.8005239,427.4309657
ENSG00000189339.12,SLC35E2B,234.8812398,164.920295,709.8429737,330.1112692,283.6909264
ENSG00000215914.4,MMP23A,9.211495947,44.87435181,37.05533597,6.709608159,14.46520086
ENSG00000008128.23,CDK11A,64.00853858,202.4543309,78.59098768,41.84880728,64.18447483
ENSG00000215790.9,SLC35E2A,926.3354379,433.5507999,2106.020136,1628.503375,1157.012268
ENSG00000008130.15,NADK,243.5806353,433.5235165,401.793815,216.4982205,336.1880259
ENSG00000078369.19,GNB1,347.989273,611.2949997,301.4529494,344.8487909,259.1778136
ENSG00000169885.10,CALML6,7.746413411,50.31615316,266.6057282,25.39102173,95.57837079
ENSG00000178821.13,TMEM52,20.07004446,173.8176327,31.39745591,179.0817856,13.50721623
ENSG00000142609.20,CFAP74,0.206984741,0.112037612,0.370063629,2.412266617,0.278603036
ENSG00000187730.9,GABRD,48.93884276,8.829944106,1.325707862,7.561444841,0.998061432
ENSG00000067606.17,PRKCZ,1.004513278,1.767113955,3.423525841,8.414348879,256.5576565
ENSG00000182873.5,PRKCZ-AS1,13.06293067,300.5073271,52.54860746,26.16617902,29.30467336
ENSG00000162585.17,FAAP20,63.57656568,319.4565602,80.15681783,63.56545866,49.91848218
ENSG00000157933.11,SKI,19.44062169,1125.286265,165.0065399,38.45680876,32.22700297
ENSG00000116151.14,MORN1,5.533121022,17.05843334,24.30126341,18.66203217,21.96509094
ENSG00000157916.20,RER1,620.0758229,1053.230073,635.2394953,579.0283344,457.9318894
ENSG00000157911.11,PEX10,143.0671881,147.4159752,106.3210155,241.6905532,115.6190511
ENSG00000149527.18,PLCH2,1.065287645,48.20573192,6.66611814,2.250255753,3.77589788
ENSG00000157881.16,PANK4,108.8649886,296.6665651,305.3793751,77.24594288,185.9033471
ENSG00000197921.6,HES5,0,12.08736749,4.990617639,0,0
ENSG00000238164.6,TNFRSF14-AS1,76.2723782,70.95867754,168.3264937,62.50097658,68.97683822
ENSG00000157873.18,TNFRSF14,1864.876478,2385.151607,2127.401491,1156.259068,898.7636244
ENSG00000157870.17,PRXL2B,340.481168,528.9328089,238.9300802,171.1233129,216.1602305
ENSG00000142606.16,MMEL1,2.399766743,0.432985437,0.357541005,0,0.358900476
ENSG00000215912.13,TTC34,0.308714612,0.946913627,1.149883972,0.449732398,0.323191723
